	SWPV2_iflood	SWPV2_etss	SWPV2_estofs	SWPV2_unbiasedEtss	SWPV2_cbofs	SWPV2_ahps	APAM2_iflood	APAM2_etss	APAM2_estofs	APAM2_unbiasedEtss	APAM2_cbofs	APAM2_ahps	SLIM2_iflood	SLIM2_etss	SLIM2_estofs	SLIM2_unbiasedEtss	SLIM2_cbofs	SLIM2_ahps	BISM2_iflood	BISM2_etss	BISM2_estofs	BISM2_unbiasedEtss	BISM2_cbofs	BISM2_ahps	KPTV2_iflood	KPTV2_etss	KPTV2_estofs	KPTV2_unbiasedEtss	KPTV2_cbofs	KPTV2_ahps	BLTM2_iflood	BLTM2_etss	BLTM2_estofs	BLTM2_unbiasedEtss	BLTM2_cbofs	BLTM2_ahps
2018-04-25 13:00:00	-0.14702094226680007	-0.0009999999999998899	-0.18000000000000016		-0.15463840802000028	-0.08000000000000007							-0.22919132151200006	0.0019999999999997797	-0.16700000000000026	-0.4480000000000002	0.39370619587999967	0.052999999999999936	-0.06145094482509972	-0.0040000000000000036	-0.25299999999999967	-0.3639999999999999	0.34489081625999995	-0.0029999999999996696	0.05395124532352025	0.0030000000000001137	-0.09599999999999986	-0.45699999999999985	0.34129067192999996	-0.24599999999999977	-0.6239791637293999	-0.001000000000000112	-0.2510000000000001	-0.45100000000000007	-0.08719074033999985	0.008999999999999897
2018-04-25 14:00:00	-0.2543068686730301	-0.0050000000000001155	-0.20400000000000018		-0.26385725761000023	-0.05400000000000005	-0.3240150836464999	0.0020000000000000018	-0.21599999999999997	-0.508	0.2663155017400003	-0.016000000000000014	-0.22708917859889954	-0.0009999999999998899	-0.22999999999999998	-0.45099999999999985	0.32691524073	0.1299999999999999	-0.19286876620669968	-0.001000000000000334	-0.33000000000000007	-0.3610000000000002	0.17264978025999955	0.16999999999999993	0.06818887942469964	-0.0030000000000001137	-0.10299999999999998	-0.4630000000000001	0.3456046344799999	-0.403	-0.4355600707698811	0.0030000000000001137	-0.13600000000000012	-0.44699999999999984	0.03536894480000008	0.014000000000000012
2018-04-25 15:00:00	-0.1849138773087997	-0.0040000000000000036	-0.19199999999999995		-0.19629651552999983	-0.10200000000000009	-0.3716082458604999	0.0030000000000001137	-0.2450000000000001	-0.5069999999999999	0.31862736616999987	-0.04500000000000015	-0.3171917629548995	-0.0009999999999998899	-0.2709999999999999	-0.45099999999999985	0.23759809103000018	0.0990000000000002	-0.21473300914589943	-0.0040000000000000036	-0.2929999999999997	-0.3639999999999999	0.04295320528000035	0.18700000000000028	0.1188691326778002	0.0010000000000000009	-0.06999999999999995	-0.459	0.38285162930000016	-0.35	-0.2140636864316401	-0.0009999999999998899	0.03100000000000014	-0.45099999999999985	0.29578799081000007	0.001000000000000112
2018-04-25 16:00:00	-0.009602976053899814	0.0030000000000001137	-0.20699999999999985		-0.0627561292679999	-0.10699999999999987	-0.3768649788427001	0.0019999999999997797	-0.2650000000000001	-0.5080000000000002	0.3486350957599995	0.03499999999999992	-0.3741633809678997	-0.0039999999999995595	-0.262	-0.4539999999999995	0.15662194325999979	0.04800000000000004	-0.2501872895712993	0.0019999999999997797	-0.2669999999999999	-0.3580000000000001	-0.08040786213999995	0.19300000000000006	0.6833865173710001	0.0009999999999998899	0.0	-0.45900000000000013	0.4497035011599999	-0.25	-0.1980311510188999	-0.0040000000000000036	0.07800000000000007	-0.45399999999999996	0.5070179197400002	-0.02200000000000002
2018-04-25 17:00:00	0.4425117474206104	-0.03499999999999992	-0.2669999999999999		0.06603585265	-0.1269999999999999	-0.34569551765389983	-0.05500000000000016	-0.24600000000000022	-0.5650000000000002	0.37809424208	0.06400000000000006	-0.5084895023357996	-0.03699999999999992	-0.32799999999999985	-0.4869999999999999	0.08029329505000016	0.12199999999999989	-0.39995319950849995	0.0030000000000001137	-0.32600000000000007	-0.35699999999999976	-0.21688823220999964	0.3440000000000003	0.8135415947695599	-0.07299999999999995	-0.029999999999999916	-0.5329999999999999	0.44111658698	-0.33999999999999997	-0.18571887001919984	-0.04699999999999993	0.04300000000000015	-0.4969999999999999	0.5979486755000001	-0.026999999999999913
2018-04-25 18:00:00	0.6062605208330898	-0.04700000000000015	-0.2689999999999999		0.26111330597999993	-0.038999999999999924	-0.3835476891624998	-0.05900000000000016	-0.2410000000000001	-0.5690000000000002	0.3522883917599997	0.05899999999999972	-0.5271445888749999	-0.04400000000000004	-0.379	-0.494	0.04426493035999979	0.10099999999999998	-0.45021448975416956	-0.0020000000000000018	-0.4019999999999999	-0.3619999999999999	-0.3391452990299999	0.3579999999999999	0.9407580942833997	-0.04399999999999982	0.0030000000000001137	-0.5039999999999998	0.54830443357	-0.357	-0.2008997990982997	-0.06000000000000005	0.014000000000000234	-0.51	0.66282676362	-0.005999999999999783
2018-04-25 19:00:00																																				
