	SWPV2_iflood	SWPV2_etss	SWPV2_estofs	SWPV2_unbiasedEtss	SWPV2_cbofs	SWPV2_ensemble	SLIM2_iflood	SLIM2_etss	SLIM2_estofs	SLIM2_unbiasedEtss	SLIM2_cbofs	SLIM2_ensemble	WASD2_iflood	WASD2_etss	WASD2_estofs	WASD2_unbiasedEtss	BISM2_iflood	BISM2_etss	BISM2_estofs	BISM2_unbiasedEtss	BISM2_cbofs	BISM2_ensemble	KPTV2_iflood	KPTV2_etss	KPTV2_estofs	KPTV2_unbiasedEtss	KPTV2_cbofs	KPTV2_ensemble	BLTM2_iflood	BLTM2_etss	BLTM2_estofs	BLTM2_unbiasedEtss	BLTM2_cbofs	BLTM2_ensemble
2018-04-24 13:00:00	0.054731535163220046	0.0020000000000000018	-0.1160000000000001		-0.10013090028999994	-0.039849841281695	-0.011342759904999777	-0.008000000000000007	-0.14500000000000002	-0.45799999999999996	0.4775902915200003	0.07831188290375013	-0.22432030823850002	0.0009999999999998899	-0.05699999999999994	-0.4890000000000001	0.08844760703050003	0.0019999999999997797	-0.2450000000000001	-0.3580000000000001	0.37160709684000004	0.054263675967624714	0.5085491255881001	-0.0029999999999998916	-0.062000000000000055	-0.46299999999999986	0.4101895417100001	0.21343466682452483	-0.23433951501093997	-0.0009999999999998899	-0.06999999999999995	-0.4509999999999999	-0.01841801944499999	-0.080939383613985
2018-04-24 14:00:00	0.21404702382679996	0.0030000000000001137	-0.20600000000000007		-0.10284281505900006	-0.022948947808050013	-0.055516635123600055	-0.0009999999999998899	-0.15999999999999992	-0.45099999999999985	0.39850061570999995	0.04549599514660008	-0.22128765872599998	0.0010000000000000009	0.5419999999999999	-0.489	-0.038603446530400376	0.004999999999999893	-0.20500000000000007	-0.355	0.19776915364000036	-0.010208573222600048	0.6492822256958001	0.0039999999999998925	-0.1140000000000001	-0.4560000000000001	0.38075991060000003	0.23001053407395	-0.09884233769541995	0.0030000000000000027	0.02300000000000002	-0.44699999999999995	0.1885248691	0.02892063285114499
2018-04-24 15:00:00	0.3596456282728001	-0.004000000000000115	-0.17500000000000004		0.0450443887530001	0.0564225042564499	-0.21655174541529987	0.0030000000000001137	-0.17599999999999993	-0.44699999999999984	0.2624228730400002	-0.03178221809382498	-0.33391502483000013	0.0040000000000000036	1.266	-0.486	-0.2455601637653002	0.002000000000000224	-0.18699999999999983	-0.35799999999999965	-0.014778581059999851	-0.11133468620632492	0.5528698882726002	-0.0020000000000000018	-0.040000000000000036	-0.462	0.390725133401	0.22539875541840004	-0.15214501001225988	0.0030000000000001137	0.014000000000000012	-0.44699999999999984	0.31758714520999987	0.04561053379943503
2018-04-24 16:00:00	0.2411577875255001	0.0	-0.131		0.14248098088499994	0.06315969210262506	-0.3252978580532999	-0.008000000000000007	-0.22499999999999987	-0.45799999999999996	0.14725776570000004	-0.10276002308832477	-0.4991094394554001	0.0040000000000000036	1.146	-0.486	-0.3446040495814999	-0.0050000000000001155	-0.2450000000000001	-0.3650000000000002	-0.18362417243000007	-0.19455705550287505	0.5250365406804002	-0.0030000000000000027	-0.0020000000000000018	-0.463	0.4776067720799998	0.24941082819010008	-0.19842848822179993	-0.0040000000000000036	-0.06299999999999994	-0.45399999999999996	0.4152741285400001	0.03746141007955006
2018-04-24 17:00:00	0.25584073439770016	0.1289999999999999	-0.04700000000000004		0.39252037443	0.1825902772069249	-0.3601947623920001	-0.08099999999999996	-0.32499999999999996	-0.5309999999999999	0.05637036239000004	-0.17745610000049994	-0.9288158067023902	-0.26000000000000023	0.4179999999999997	-0.7500000000000002	-0.34777182768941706	-0.026999999999999913	-0.371	-0.387	-0.31437794808999997	-0.2650374439448542	0.3841377072886998	0.04600000000000004	0.04899999999999993	-0.4139999999999999	0.5409237041200001	0.255015352852175	-0.28082407292520006	-0.036000000000000254	-0.16700000000000004	-0.4860000000000002	0.45281383011999976	-0.0077525607013000375
2018-04-24 18:00:00	0.22439215972784998	0.06899999999999973	-0.008000000000000007		0.5389344172899999	0.2060816442544624	-0.31340447384677006	-0.16900000000000004	-0.3380000000000001	-0.619	0.01585865020999977	-0.2011364559091926	-1.1662042293076995	-0.2679999999999998	-0.13599999999999968	-0.7579999999999996	-0.24731088190033979	-0.08799999999999986	-0.43299999999999994	-0.44799999999999984	-0.40172822406599995	-0.2925097764915848	0.6865696096001002	0.028000000000000025	0.1260000000000001	-0.43199999999999994	0.6651836144100001	0.37643830600252537	-0.34954376541630006	-0.1030000000000002	-0.19100000000000028	-0.5530000000000002	0.45868571726999985	-0.04621451203657534
2018-04-24 19:00:00	0.48496173934599973	0.06400000000000006	0.018000000000000238		0.6710727262000002	0.3095086163865002	-0.24851118492169977	-0.1569999999999998	-0.2739999999999999	-0.6069999999999998	0.001555445940000011	-0.1694889347454247	-1.2246909928553	-0.3019999999999996	-0.46799999999999997	-0.7919999999999994	-0.13251056656680005	-0.16699999999999993	-0.354	-0.5269999999999999	-0.405032814366	-0.26463584523319994	0.9335072357595	0.028999999999999915	0.09899999999999975	-0.43100000000000005	0.7125674809900002	0.4435186791873753	-0.45821416197520026	-0.20900000000000007	-0.20900000000000007	-0.659	0.40824318550999994	-0.1169927441162999
2018-04-24 20:00:00	0.6898775486269004	0.029999999999999805	-0.020000000000000018		0.6865265135299996	0.3466010155392252	-0.17032528783462875	-0.26	-0.21000000000000008	-0.71	-0.008269129859999946	-0.1621486044236572	-1.0746376070172001	-0.3450000000000002	-0.645	-0.8350000000000004	-0.05409749426229993	-0.31300000000000006	-0.276	-0.673	-0.43745847134	-0.27013899140057496	1.0983211693622001	0.06300000000000017	0.09499999999999975	-0.3969999999999998	0.8073023947000002	0.5159058910155503	-0.48068692837189997	-0.15799999999999992	-0.21399999999999997	-0.6079999999999999	0.3047630453600001	-0.13698097075297477
2018-04-24 21:00:00	0.6667118423699998	-0.04800000000000004	-0.06799999999999962		0.6210333887500004	0.29293630778000024	-0.17069471084308296	-0.3380000000000001	-0.134	-0.788	0.008919529729999987	-0.15844379527827068	-0.9076969134419	-0.45599999999999996	-0.9430000000000001	-0.9460000000000002	0.04908656961624003	-0.365	-0.129	-0.725	-0.369555648264	-0.20361726966193994	0.8316866486599994	0.04499999999999993	0.10799999999999965	-0.41500000000000004	0.7661217805899998	0.43770210731250003	-0.5503122876552002	-0.2240000000000002	-0.28300000000000014	-0.6740000000000002	0.18228630028999993	-0.21875649684130027
2018-04-24 22:00:00	0.461411372178	-0.129	-0.05899999999999972		0.47752467656999986	0.1877340121869997	-0.0313655785201199	-0.383	-0.04499999999999993	-0.833	0.1505238284999999	-0.07721043750502998	-0.9232366746899001	-0.476	-1.3279999999999998	-0.9660000000000002	0.19280066812333008	-0.3430000000000001	-0.051000000000000156	-0.7030000000000001	-0.23271721991200012	-0.10847913794716746	0.8143619365070003	-0.03399999999999981	0.125	-0.4939999999999998	0.7112110675099999	0.4041432510042502	-0.5934401984622	-0.33199999999999985	-0.355	-0.7819999999999998	0.09962020840000019	-0.29520499751554996
