CBBV2	SWPV2	BLTM2	BISM2	SLIM2	APAM2	KPTV2	LWTV2
3.8960498738250733	3.769077560317516	1.8184890472462178	1.9451402231037616	1.7551910720081332	1.5051251241431238	3.948379740846157	2.1825011283688545
3.8614761238656046	3.7372139201879504	1.8018413694074153	2.0014597785651684	1.7884691203744412	1.4972073225692513	3.916365908455849	2.216023141377449
3.824194415267468	3.7045523836731915	1.7859401549270153	2.058886904168129	1.8220245746285917	1.490656945259929	3.8851828270077706	2.248597750210047
3.7856397881469728	3.669378842484951	1.771179169582367	2.117542653310299	1.856184318056822	1.4851089252845049	3.8542289452075957	2.2805181035630704
3.7441992402038577	3.6304868694663046	1.7572753361632825	2.1769277540624143	1.8907622726173403	1.4806233004347087	3.81897424544096	2.312130152099609
3.6993623524270056	3.589991867852211	1.7436931058337688	2.2371242450356483	1.9251736076385977	1.47772476580894	3.7800480489253996	2.3433557684652806
3.6521751904449467	3.5509454001903533	1.7307419567873479	2.2980983916401865	1.9592353740842343	1.4765579401270152	3.7425271669745444	2.373930551701069
3.6015664610228537	3.514328996372223	1.718792480604887	2.3595383689284324	1.9926334980340006	1.4772007062897683	3.7057873630046845	2.4042962782614232
3.5486770777664187	3.4777082901716234	1.7077358465662003	2.4210190232872963	2.0257558783800604	1.479889793114424	3.666436990690231	2.4344435611300472
3.4931416315100194	3.4397157106518748	1.6973251565864087	2.4824575338542463	2.058777348300934	1.4840298584268095	3.624651665461063	2.4641238399379253
3.4346913211307526	3.4007108978748324	1.6872950318922997	2.544167290079594	2.0921263859779837	1.4893245756343605	3.579772927236557	2.4933207851879597
3.374540005173445	3.3602245010256766	1.6772643205096722	2.6055866354882715	2.1257903776080607	1.4959471645221711	3.532682373297215	2.521994306498051
3.3130701067707538	3.319928582382202	1.6668556839396955	2.6661992841839792	2.159766096404314	1.504226170660615	3.4829003857791423	2.549714850091219
3.2498516810200213	3.2785085685372355	1.6564313045611383	2.72554224114418	2.1939096081168654	1.5143795977250338	3.431755423051119	2.5766256657474043
3.187194618400097	3.2355453683257105	1.6463987842222454	2.7828089074373246	2.227961987546206	1.5266665175870657	3.3809887766361237	2.6031146523587703
3.1254025302193167	3.190944524896145	1.6366521767547133	2.8375760850787164	2.261866130343199	1.540752517791152	3.3289474516332147	2.6286479233734608
3.062969680394888	3.142306286644936	1.6269259078224898	2.8889414471268653	2.295914598515749	1.556273704783678	3.2721586431384084	2.6529795585207943
3.000305577512741	3.089597994577885	1.6171598907431366	2.936515823531151	2.3299684446663855	1.5733143661484719	3.2108229008436204	2.6766782545380594
2.937046572472811	3.0332530159473423	1.607655438961625	2.98061426602602	2.3635332859368328	1.591249825285435	3.147162014168501	2.7000931888751984
2.872858937289476	2.974945173096657	1.5984485360404252	3.0213879446864125	2.396497162601471	1.6100561257467272	3.0827123247802257	2.7223179277710914
